,depth,drop,pageid,parent_id,sex,sortkeyprefix,title
606,3,False,4667166,3793349,male,たちはなたかし,Category:立花隆
609,4,False,4503051,4480814,female,あふつに,Category:阿仏尼
612,4,False,388377,3922007,female,くらんふ,Category:CLAMP
622,4,False,4495205,3838743,female,いすみしきふ,Category:和泉式部
623,4,False,4637902,3838743,female,しよくしないしんのう,Category:式子内親王
624,4,False,4590251,3838743,female,たわらまち,Category:俵万智
648,4,False,4730963,2544666,female,すたあたむのゆにつと,Category:スターダムのユニット
743,4,False,4130944,3844418,female,なかたもえ,Category:永田萌
744,4,False,2648519,2648513,female,*まつしま なほみ,Category:松嶋尚美
746,4,False,4561122,4634445,female,すきやんたる,Category:SCANDAL
747,4,False,1165505,4634445,female,ちやつともんちい,Category:チャットモンチー
748,4,False,662717,3510665,female,*はろおふろしえくと,Category:ハロー!プロジェクトのユニット
749,4,False,4854487,3510665,female,あいりす,Category:I☆Ris
750,4,False,3349971,3510665,female,あくあ,Category:Aqours
751,4,False,5127263,3510665,female,いきつらいふ,Category:いきづらい部!
752,4,False,3928437,3510665,female,かめんらいたあかあるす,Category:仮面ライダーGIRLS
753,4,False,4853841,3510665,female,すまいるふりんせす,Category:SMILE PRINCESS
754,4,False,4223798,3510665,female,せいんとすのお,Category:Saint Snow
755,4,False,3843256,3510665,female,にしかさきかくえんすくうるあいとるとうこうかい,Category:虹ヶ咲学園スクールアイドル同好会
757,4,False,5068579,3510665,female,はるもえ,Category:Harmoe
758,4,False,4229561,3510665,female,ひつしゆ,Category:BiSH
759,4,False,3213451,3510665,female,みゆうす,Category:Μ's
760,4,False,5161477,3510665,female,ゆいかおり,Category:ゆいかおり
761,4,False,4267785,3510665,female,りえら,Category:Liella!
768,4,False,5009476,5009475,female,めんはあ,Category:虹のコンキスタドールのメンバー
769,4,False,3098439,3252804,female,めんはあ,Category:でんぱ組.incのメンバー
771,4,False,566085,2337675,female,AKB,Category:AKB48
772,4,False,4865602,2337675,female,AKB SH,Category:AKB48 Team SH
773,4,False,4278294,2337675,female,AKB TP,Category:AKB48 Team TP
774,4,False,2576847,2337675,female,HKT,Category:HKT48
775,4,False,2883482,2337675,female,JKT,Category:JKT48
776,4,False,4937843,2337675,female,KLP,Category:KLP48
777,4,False,3268588,2337675,female,,Category:NGT48
778,4,False,2208856,2337675,female,NMB,Category:NMB48
779,4,False,1840797,2337675,female,SDN,Category:SDN48
780,4,False,1538324,2337675,female,SKE,Category:SKE48
781,4,False,3531009,2337675,female,,Category:SKK47
782,4,False,2883478,2337675,female,SNH,Category:SNH48
783,4,False,3563408,2337675,female,STU,Category:STU48
784,4,False,2485253,2337675,female,けきしようこうえん,Category:AKB48グループの劇場公演
785,4,False,3253703,2337675,female,しやんけんたいかい,Category:AKB48グループじゃんけん大会
786,4,False,3714309,2337675,female,しよそくしや,Category:AKB48グループの所属者
787,4,False,2641958,2337675,female,ゆにつと,Category:AKB48グループの派生ユニット
788,4,False,4229568,5164030,female,きやんくはれえと,Category:GANG PARADE
789,4,False,4229569,5164030,female,はらたいせす,Category:PARADISES
